tick,hour,hostel,library,canteen,lab,admin,ground
4,4,0,0,0,2,0,0
4,2,0,0,0,2,0,0
5,5,0,0,0,2,0,0
5,3,0,0,0,2,0,0
6,6,0,0,0,2,0,0
6,1,0,0,0,2,0,0
7,7,0,0,0,2,0,0
8,8,0,0,0,2,0,0
9,9,0,0,0,2,0,0
10,10,0,0,0,2,0,0
11,11,0,0,1,2,0,0
12,12,0,0,0,0,0,0
13,13,0,0,0,0,0,0
14,14,0,0,0,0,0,0
15,15,0,0,0,0,0,0
16,16,0,0,0,0,0,0
17,17,0,0,0,0,0,0
18,18,0,0,0,0,0,0
19,19,0,0,0,0,0,0
20,20,0,0,0,0,0,0
23,21,0,0,0,0,0,0
24,0,0,0,0,0,0,0
25,1,0,0,0,0,0,0
27,3,0,0,0,0,0,0
27,22,0,0,0,0,0,0
28,4,0,0,0,0,0,0
28,23,0,0,0,0,0,0
28,2,0,0,0,0,0,0
29,5,0,0,0,0,0,0
30,6,0,0,0,0,0,0
31,7,0,0,0,0,0,0
32,8,0,0,0,0,0,0
33,9,0,0,0,1,0,0
34,10,0,0,0,1,0,0
35,11,0,0,0,1,0,0
36,12,2,0,0,0,0,0
37,13,0,0,0,0,0,0
38,14,2,0,0,0,0,0
39,15,2,0,0,0,0,0
40,16,0,0,0,0,0,0
43,17,2,0,0,0,0,0
44,20,0,3,0,0,0,0
45,21,2,0,0,0,0,0
47,23,2,0,0,0,0,0
47,18,2,0,0,0,0,0
48,0,0,2,0,0,0,0
48,19,0,2,0,0,0,0
49,1,2,0,0,0,0,0
49,22,2,0,0,0,0,0
50,2,0,2,0,0,0,0
51,3,2,0,0,0,0,0
52,4,0,3,0,0,0,0
53,5,2,0,0,0,0,0
54,6,0,2,0,0,0,0
55,7,2,0,0,0,0,0
56,8,0,2,0,0,0,0
57,9,0,0,0,0,0,0
58,10,0,3,0,0,0,0
59,11,0,0,0,0,0,0
60,12,0,1,0,0,0,0
63,13,0,0,0,0,0,0
64,16,0,0,0,0,0,0
65,17,0,0,0,0,0,0
67,19,0,0,0,0,0,0
67,14,0,0,0,0,0,0
68,20,0,0,0,0,0,0
68,15,0,0,0,0,0,0
68,18,0,0,0,0,0,0
69,21,0,0,0,0,0,0
70,22,0,0,0,0,0,0
71,23,0,0,0,0,0,0
72,0,0,0,0,0,0,0
73,1,0,0,0,0,0,0
74,2,0,0,0,0,0,0
75,3,0,0,0,0,0,0
76,4,0,0,0,0,0,0
77,5,0,0,0,0,0,0
78,6,0,0,0,0,0,0
79,7,0,0,0,0,0,0
80,8,0,0,0,0,0,0
